text_id,category,content
1,product_review,"The new iPhone 15 Pro Max is amazing! The camera quality is outstanding and battery life lasts all day. Best phone I've ever had. 📱"
2,customer_service,"Very disappointed with the support team. I've been waiting for 3 days for a response to my ticket. This is unacceptable service. 😠"
3,news,"Microsoft announces new AI features for Windows 11. CEO Satya Nadella emphasized the importance of AI integration in daily computing."
4,social_media,"Just had an incredible dinner at La Maison! The French cuisine was perfect, and the ambiance was so romantic. #foodie #paris 🍷"
5,tech_review,"The new Tesla Model Y performs exceptionally well. The autopilot features are impressive, though there's room for improvement."
6,feedback,"Thank you for the excellent webinar on data science! The presentations were informative and well-structured. Looking forward to the next session!"
7,complaint,"The flight was delayed by 4 hours, and we received no compensation or proper explanation. United Airlines needs to do better."
8,product_launch,"Samsung unveils its latest Galaxy Watch with advanced health monitoring features. Available in stores starting next month."
9,restaurant_review,"Terrible experience at Downtown Cafe. Cold food, slow service, and overpriced menu. Would not recommend to anyone. ⚠️"
10,job_review,"Great work environment at Google! Flexible hours, amazing benefits, and wonderful colleagues. Truly a dream workplace. 💼" 
